Name: arville
Location: 48.1694 , 2.5539
Issued: 2020/07/11 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/11 06:00UTC,2.64,10
2020/07/11 09:00UTC,3.01,31
2020/07/11 12:00UTC,3.14,22
2020/07/11 15:00UTC,4.10,43
2020/07/11 18:00UTC,3.67,53
2020/07/11 21:00UTC,3.26,35
2020/07/12 00:00UTC,4.08,32
2020/07/12 03:00UTC,3.35,25
2020/07/12 06:00UTC,4.41,33
2020/07/12 09:00UTC,4.65,35
2020/07/12 12:00UTC,4.78,47
2020/07/12 15:00UTC,4.77,51
2020/07/12 18:00UTC,3.54,42
2020/07/12 21:00UTC,3.74,24
2020/07/13 00:00UTC,3.40,22
2020/07/13 03:00UTC,3.42,17
2020/07/13 06:00UTC,3.54,27
2020/07/13 09:00UTC,3.62,30
2020/07/13 12:00UTC,3.48,42
2020/07/13 15:00UTC,2.66,31
2020/07/13 18:00UTC,2.40,29
2020/07/13 21:00UTC,2.66,33
2020/07/14 00:00UTC,2.67,15
2020/07/14 03:00UTC,1.93,1
2020/07/14 06:00UTC,1.08,13
2020/07/14 09:00UTC,0.64,298
2020/07/14 12:00UTC,3.28,272
2020/07/14 15:00UTC,5.60,295
2020/07/14 18:00UTC,3.62,269
2020/07/14 21:00UTC,2.42,266
2020/07/15 00:00UTC,3.28,280
2020/07/15 03:00UTC,3.60,272
2020/07/15 06:00UTC,3.76,272
2020/07/15 09:00UTC,4.51,261
2020/07/15 12:00UTC,4.63,256
2020/07/15 15:00UTC,5.35,262
2020/07/15 18:00UTC,4.39,277
2020/07/15 21:00UTC,3.24,276
2020/07/16 00:00UTC,2.72,292
2020/07/16 03:00UTC,2.59,274
2020/07/16 06:00UTC,2.70,278
2020/07/16 09:00UTC,2.72,295
2020/07/16 12:00UTC,2.84,316
2020/07/16 15:00UTC,2.64,323
2020/07/16 18:00UTC,2.68,304
2020/07/16 21:00UTC,2.59,319
2020/07/17 00:00UTC,2.31,345
2020/07/17 03:00UTC,1.70,340
2020/07/17 06:00UTC,1.42,301
2020/07/17 09:00UTC,1.69,324
2020/07/17 12:00UTC,3.20,334
2020/07/17 15:00UTC,3.59,349
2020/07/17 18:00UTC,2.65,351
2020/07/17 21:00UTC,2.51,44
2020/07/18 00:00UTC,2.50,22
2020/07/18 03:00UTC,2.68,26
2020/07/18 06:00UTC,2.74,37
2020/07/18 09:00UTC,3.52,48
2020/07/18 12:00UTC,4.43,48
2020/07/18 15:00UTC,4.59,45
2020/07/18 18:00UTC,3.87,47
2020/07/18 21:00UTC,3.40,54
2020/07/19 00:00UTC,3.08,56
2020/07/19 03:00UTC,3.14,61
2020/07/19 06:00UTC,4.35,78
2020/07/19 09:00UTC,4.64,80
2020/07/19 12:00UTC,4.75,77
2020/07/19 15:00UTC,4.94,70
2020/07/19 18:00UTC,3.68,55
2020/07/19 21:00UTC,3.63,65
2020/07/20 00:00UTC,2.64,78
2020/07/20 03:00UTC,2.01,76
2020/07/20 06:00UTC,1.71,77
2020/07/20 09:00UTC,1.19,98
2020/07/20 12:00UTC,0.50,135
2020/07/20 15:00UTC,0.42,236
2020/07/20 18:00UTC,1.58,352
2020/07/20 21:00UTC,1.01,88
2020/07/21 00:00UTC,2.15,107
2020/07/21 03:00UTC,1.51,186
2020/07/21 06:00UTC,1.06,207
