Name: boissy-la-riviere
Location: 48.3795 , 2.1776
Issued: 2020/07/11 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/11 06:00UTC,2.38,358
2020/07/11 09:00UTC,2.71,21
2020/07/11 12:00UTC,2.94,10
2020/07/11 15:00UTC,3.61,18
2020/07/11 18:00UTC,3.67,33
2020/07/11 21:00UTC,3.23,24
2020/07/12 00:00UTC,3.91,33
2020/07/12 03:00UTC,3.36,28
2020/07/12 06:00UTC,4.19,34
2020/07/12 09:00UTC,4.51,39
2020/07/12 12:00UTC,4.22,48
2020/07/12 15:00UTC,4.30,56
2020/07/12 18:00UTC,2.99,58
2020/07/12 21:00UTC,3.53,34
2020/07/13 00:00UTC,3.54,20
2020/07/13 03:00UTC,3.55,19
2020/07/13 06:00UTC,3.71,26
2020/07/13 09:00UTC,3.79,30
2020/07/13 12:00UTC,3.15,43
2020/07/13 15:00UTC,2.17,22
2020/07/13 18:00UTC,2.99,359
2020/07/13 21:00UTC,3.71,6
2020/07/14 00:00UTC,2.64,358
2020/07/14 03:00UTC,2.19,346
2020/07/14 06:00UTC,1.22,342
2020/07/14 09:00UTC,1.11,258
2020/07/14 12:00UTC,3.72,258
2020/07/14 15:00UTC,3.95,279
2020/07/14 18:00UTC,3.59,267
2020/07/14 21:00UTC,2.89,274
2020/07/15 00:00UTC,3.53,283
2020/07/15 03:00UTC,3.61,275
2020/07/15 06:00UTC,3.71,273
2020/07/15 09:00UTC,4.65,259
2020/07/15 12:00UTC,5.36,246
2020/07/15 15:00UTC,5.93,267
2020/07/15 18:00UTC,4.39,271
2020/07/15 21:00UTC,3.09,296
2020/07/16 00:00UTC,2.78,282
2020/07/16 03:00UTC,2.77,278
2020/07/16 06:00UTC,2.86,287
2020/07/16 09:00UTC,3.21,309
2020/07/16 12:00UTC,3.33,303
2020/07/16 15:00UTC,3.46,314
2020/07/16 18:00UTC,2.11,316
2020/07/16 21:00UTC,2.77,329
2020/07/17 00:00UTC,2.70,335
2020/07/17 03:00UTC,2.07,317
2020/07/17 06:00UTC,1.83,294
2020/07/17 09:00UTC,2.09,334
2020/07/17 12:00UTC,3.36,344
2020/07/17 15:00UTC,3.30,349
2020/07/17 18:00UTC,3.00,349
2020/07/17 21:00UTC,2.87,9
2020/07/18 00:00UTC,2.54,9
2020/07/18 03:00UTC,2.37,21
2020/07/18 06:00UTC,2.55,30
2020/07/18 09:00UTC,3.11,53
2020/07/18 12:00UTC,3.86,48
2020/07/18 15:00UTC,4.26,55
2020/07/18 18:00UTC,4.03,58
2020/07/18 21:00UTC,3.28,58
2020/07/19 00:00UTC,3.07,65
2020/07/19 03:00UTC,3.41,64
2020/07/19 06:00UTC,4.38,78
2020/07/19 09:00UTC,4.86,83
2020/07/19 12:00UTC,5.19,82
2020/07/19 15:00UTC,5.11,82
2020/07/19 18:00UTC,3.58,72
2020/07/19 21:00UTC,3.48,64
2020/07/20 00:00UTC,2.67,79
2020/07/20 03:00UTC,2.14,73
2020/07/20 06:00UTC,2.17,77
2020/07/20 09:00UTC,1.95,89
2020/07/20 12:00UTC,0.90,143
2020/07/20 15:00UTC,1.67,232
2020/07/20 18:00UTC,0.84,270
2020/07/20 21:00UTC,1.00,190
2020/07/21 00:00UTC,2.03,125
2020/07/21 03:00UTC,1.42,193
2020/07/21 06:00UTC,0.75,273
