Name: guitrancourt
Location: 49.0033 , 1.79
Issued: 2020/07/11 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/11 06:00UTC,1.47,347
2020/07/11 09:00UTC,2.18,356
2020/07/11 12:00UTC,3.24,345
2020/07/11 15:00UTC,4.63,4
2020/07/11 18:00UTC,4.59,11
2020/07/11 21:00UTC,4.09,7
2020/07/12 00:00UTC,3.11,28
2020/07/12 03:00UTC,2.55,31
2020/07/12 06:00UTC,3.00,41
2020/07/12 09:00UTC,4.08,47
2020/07/12 12:00UTC,4.10,42
2020/07/12 15:00UTC,4.44,37
2020/07/12 18:00UTC,4.14,31
2020/07/12 21:00UTC,3.77,25
2020/07/13 00:00UTC,3.35,25
2020/07/13 03:00UTC,2.84,26
2020/07/13 06:00UTC,2.89,28
2020/07/13 09:00UTC,3.78,27
2020/07/13 12:00UTC,3.19,16
2020/07/13 15:00UTC,3.23,354
2020/07/13 18:00UTC,4.86,353
2020/07/13 21:00UTC,2.92,355
2020/07/14 00:00UTC,1.71,345
2020/07/14 03:00UTC,1.52,315
2020/07/14 06:00UTC,1.39,288
2020/07/14 09:00UTC,2.21,247
2020/07/14 12:00UTC,2.81,263
2020/07/14 15:00UTC,4.18,262
2020/07/14 18:00UTC,2.99,275
2020/07/14 21:00UTC,3.37,277
2020/07/15 00:00UTC,4.14,273
2020/07/15 03:00UTC,3.80,269
2020/07/15 06:00UTC,3.62,259
2020/07/15 09:00UTC,4.54,245
2020/07/15 12:00UTC,5.35,254
2020/07/15 15:00UTC,4.76,277
2020/07/15 18:00UTC,4.09,283
2020/07/15 21:00UTC,3.62,279
2020/07/16 00:00UTC,3.45,277
2020/07/16 03:00UTC,2.63,284
2020/07/16 06:00UTC,2.91,293
2020/07/16 09:00UTC,3.54,305
2020/07/16 12:00UTC,3.06,311
2020/07/16 15:00UTC,3.31,307
2020/07/16 18:00UTC,3.69,327
2020/07/16 21:00UTC,2.92,335
2020/07/17 00:00UTC,2.20,296
2020/07/17 03:00UTC,2.06,274
2020/07/17 06:00UTC,2.21,294
2020/07/17 09:00UTC,2.75,337
2020/07/17 12:00UTC,3.53,331
2020/07/17 15:00UTC,3.72,339
2020/07/17 18:00UTC,4.38,346
2020/07/17 21:00UTC,2.58,354
2020/07/18 00:00UTC,1.80,351
2020/07/18 03:00UTC,1.22,349
2020/07/18 06:00UTC,1.15,356
2020/07/18 09:00UTC,2.23,30
2020/07/18 12:00UTC,2.84,37
2020/07/18 15:00UTC,3.60,56
2020/07/18 18:00UTC,4.02,56
2020/07/18 21:00UTC,3.44,61
2020/07/19 00:00UTC,3.06,65
2020/07/19 03:00UTC,3.11,62
2020/07/19 06:00UTC,3.47,74
2020/07/19 09:00UTC,4.36,87
2020/07/19 12:00UTC,4.64,90
2020/07/19 15:00UTC,4.90,88
2020/07/19 18:00UTC,3.85,87
2020/07/19 21:00UTC,2.78,79
2020/07/20 00:00UTC,2.35,76
2020/07/20 03:00UTC,1.82,70
2020/07/20 06:00UTC,1.66,65
2020/07/20 09:00UTC,2.03,100
2020/07/20 12:00UTC,1.76,124
2020/07/20 15:00UTC,0.43,204
2020/07/20 18:00UTC,0.80,14
2020/07/20 21:00UTC,1.83,93
2020/07/21 00:00UTC,1.77,153
2020/07/21 03:00UTC,1.57,259
2020/07/21 06:00UTC,2.24,308
