Name: lieusaint
Location: 48.6192 , 2.5492
Issued: 2020/07/11 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/11 06:00UTC,1.87,12
2020/07/11 09:00UTC,2.58,28
2020/07/11 12:00UTC,2.69,24
2020/07/11 15:00UTC,3.89,46
2020/07/11 18:00UTC,4.13,45
2020/07/11 21:00UTC,3.65,24
2020/07/12 00:00UTC,3.98,32
2020/07/12 03:00UTC,3.22,29
2020/07/12 06:00UTC,4.08,34
2020/07/12 09:00UTC,4.37,36
2020/07/12 12:00UTC,4.13,46
2020/07/12 15:00UTC,4.17,46
2020/07/12 18:00UTC,3.40,35
2020/07/12 21:00UTC,3.81,29
2020/07/13 00:00UTC,3.37,22
2020/07/13 03:00UTC,3.26,24
2020/07/13 06:00UTC,3.38,28
2020/07/13 09:00UTC,3.35,32
2020/07/13 12:00UTC,3.21,45
2020/07/13 15:00UTC,2.53,54
2020/07/13 18:00UTC,3.00,39
2020/07/13 21:00UTC,3.12,17
2020/07/14 00:00UTC,2.38,7
2020/07/14 03:00UTC,1.92,352
2020/07/14 06:00UTC,0.73,348
2020/07/14 09:00UTC,0.85,277
2020/07/14 12:00UTC,3.42,260
2020/07/14 15:00UTC,4.25,282
2020/07/14 18:00UTC,3.75,258
2020/07/14 21:00UTC,2.60,263
2020/07/15 00:00UTC,3.40,269
2020/07/15 03:00UTC,3.87,272
2020/07/15 06:00UTC,3.86,274
2020/07/15 09:00UTC,3.99,260
2020/07/15 12:00UTC,5.08,244
2020/07/15 15:00UTC,4.59,269
2020/07/15 18:00UTC,4.20,273
2020/07/15 21:00UTC,2.91,287
2020/07/16 00:00UTC,3.02,277
2020/07/16 03:00UTC,2.64,274
2020/07/16 06:00UTC,2.27,270
2020/07/16 09:00UTC,2.44,288
2020/07/16 12:00UTC,2.93,313
2020/07/16 15:00UTC,2.55,307
2020/07/16 18:00UTC,2.60,306
2020/07/16 21:00UTC,2.61,330
2020/07/17 00:00UTC,1.96,339
2020/07/17 03:00UTC,1.44,297
2020/07/17 06:00UTC,1.79,268
2020/07/17 09:00UTC,1.67,316
2020/07/17 12:00UTC,3.10,347
2020/07/17 15:00UTC,3.45,337
2020/07/17 18:00UTC,2.66,357
2020/07/17 21:00UTC,2.32,34
2020/07/18 00:00UTC,2.37,17
2020/07/18 03:00UTC,2.21,26
2020/07/18 06:00UTC,2.31,33
2020/07/18 09:00UTC,2.82,44
2020/07/18 12:00UTC,3.74,50
2020/07/18 15:00UTC,3.82,48
2020/07/18 18:00UTC,3.88,50
2020/07/18 21:00UTC,3.41,56
2020/07/19 00:00UTC,3.00,62
2020/07/19 03:00UTC,3.12,66
2020/07/19 06:00UTC,4.18,83
2020/07/19 09:00UTC,4.67,86
2020/07/19 12:00UTC,4.98,80
2020/07/19 15:00UTC,5.11,84
2020/07/19 18:00UTC,3.49,75
2020/07/19 21:00UTC,3.28,70
2020/07/20 00:00UTC,2.66,81
2020/07/20 03:00UTC,2.09,77
2020/07/20 06:00UTC,2.21,82
2020/07/20 09:00UTC,2.05,93
2020/07/20 12:00UTC,0.74,116
2020/07/20 15:00UTC,1.40,220
2020/07/20 18:00UTC,0.40,76
2020/07/20 21:00UTC,1.78,130
2020/07/21 00:00UTC,1.96,133
2020/07/21 03:00UTC,1.36,162
2020/07/21 06:00UTC,0.63,188
