Name: lvs-pussay
Location: 48.3394 , 1.9727
Issued: 2020/07/11 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/11 06:00UTC,2.61,355
2020/07/11 09:00UTC,2.78,16
2020/07/11 12:00UTC,3.23,1
2020/07/11 15:00UTC,3.98,360
2020/07/11 18:00UTC,3.64,22
2020/07/11 21:00UTC,3.15,20
2020/07/12 00:00UTC,3.89,32
2020/07/12 03:00UTC,3.45,29
2020/07/12 06:00UTC,4.13,35
2020/07/12 09:00UTC,4.49,42
2020/07/12 12:00UTC,4.15,48
2020/07/12 15:00UTC,4.30,57
2020/07/12 18:00UTC,2.99,65
2020/07/12 21:00UTC,3.49,37
2020/07/13 00:00UTC,3.66,19
2020/07/13 03:00UTC,3.64,18
2020/07/13 06:00UTC,3.75,25
2020/07/13 09:00UTC,3.93,27
2020/07/13 12:00UTC,3.06,39
2020/07/13 15:00UTC,2.57,2
2020/07/13 18:00UTC,3.65,343
2020/07/13 21:00UTC,4.22,359
2020/07/14 00:00UTC,2.74,352
2020/07/14 03:00UTC,2.40,343
2020/07/14 06:00UTC,1.55,339
2020/07/14 09:00UTC,1.31,258
2020/07/14 12:00UTC,3.82,257
2020/07/14 15:00UTC,3.58,268
2020/07/14 18:00UTC,3.39,274
2020/07/14 21:00UTC,3.10,279
2020/07/15 00:00UTC,3.59,288
2020/07/15 03:00UTC,3.49,278
2020/07/15 06:00UTC,3.56,272
2020/07/15 09:00UTC,4.87,258
2020/07/15 12:00UTC,5.43,247
2020/07/15 15:00UTC,6.33,266
2020/07/15 18:00UTC,4.41,270
2020/07/15 21:00UTC,3.20,298
2020/07/16 00:00UTC,2.64,285
2020/07/16 03:00UTC,2.73,281
2020/07/16 06:00UTC,3.04,295
2020/07/16 09:00UTC,3.57,314
2020/07/16 12:00UTC,3.67,294
2020/07/16 15:00UTC,3.87,312
2020/07/16 18:00UTC,2.06,330
2020/07/16 21:00UTC,2.89,331
2020/07/17 00:00UTC,3.03,333
2020/07/17 03:00UTC,2.37,322
2020/07/17 06:00UTC,1.89,304
2020/07/17 09:00UTC,2.34,337
2020/07/17 12:00UTC,3.32,345
2020/07/17 15:00UTC,3.28,354
2020/07/17 18:00UTC,3.29,349
2020/07/17 21:00UTC,3.48,356
2020/07/18 00:00UTC,2.66,4
2020/07/18 03:00UTC,2.36,17
2020/07/18 06:00UTC,2.54,28
2020/07/18 09:00UTC,3.10,56
2020/07/18 12:00UTC,3.75,47
2020/07/18 15:00UTC,4.41,57
2020/07/18 18:00UTC,4.10,60
2020/07/18 21:00UTC,3.24,60
2020/07/19 00:00UTC,3.15,67
2020/07/19 03:00UTC,3.57,64
2020/07/19 06:00UTC,4.38,76
2020/07/19 09:00UTC,4.88,83
2020/07/19 12:00UTC,5.26,84
2020/07/19 15:00UTC,5.06,84
2020/07/19 18:00UTC,3.63,75
2020/07/19 21:00UTC,3.52,63
2020/07/20 00:00UTC,2.74,79
2020/07/20 03:00UTC,2.20,73
2020/07/20 06:00UTC,2.18,76
2020/07/20 09:00UTC,1.97,91
2020/07/20 12:00UTC,1.21,151
2020/07/20 15:00UTC,1.92,239
2020/07/20 18:00UTC,1.26,264
2020/07/20 21:00UTC,1.07,218
2020/07/21 00:00UTC,2.06,127
2020/07/21 03:00UTC,1.45,198
2020/07/21 06:00UTC,0.98,290
