Name: parc-du-gatinais
Location: 48.1399 , 2.5616
Issued: 2020/07/11 06:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/11 06:00UTC,2.72,10
2020/07/11 09:00UTC,3.03,31
2020/07/11 12:00UTC,3.18,21
2020/07/11 15:00UTC,4.10,41
2020/07/11 18:00UTC,3.61,53
2020/07/11 21:00UTC,3.22,36
2020/07/12 00:00UTC,4.08,31
2020/07/12 03:00UTC,3.37,25
2020/07/12 06:00UTC,4.43,33
2020/07/12 09:00UTC,4.66,35
2020/07/12 12:00UTC,4.82,47
2020/07/12 15:00UTC,4.81,51
2020/07/12 18:00UTC,3.56,43
2020/07/12 21:00UTC,3.73,23
2020/07/13 00:00UTC,3.40,22
2020/07/13 03:00UTC,3.42,17
2020/07/13 06:00UTC,3.53,27
2020/07/13 09:00UTC,3.63,30
2020/07/13 12:00UTC,3.50,41
2020/07/13 15:00UTC,2.73,28
2020/07/13 18:00UTC,2.37,27
2020/07/13 21:00UTC,2.64,34
2020/07/14 00:00UTC,2.69,15
2020/07/14 03:00UTC,1.94,1
2020/07/14 06:00UTC,1.13,13
2020/07/14 09:00UTC,0.67,303
2020/07/14 12:00UTC,3.25,273
2020/07/14 15:00UTC,5.67,295
2020/07/14 18:00UTC,3.59,271
2020/07/14 21:00UTC,2.40,267
2020/07/15 00:00UTC,3.27,281
2020/07/15 03:00UTC,3.58,272
2020/07/15 06:00UTC,3.75,272
2020/07/15 09:00UTC,4.56,260
2020/07/15 12:00UTC,4.58,257
2020/07/15 15:00UTC,5.39,262
2020/07/15 18:00UTC,4.40,278
2020/07/15 21:00UTC,3.29,274
2020/07/16 00:00UTC,2.71,293
2020/07/16 03:00UTC,2.56,274
2020/07/16 06:00UTC,2.73,279
2020/07/16 09:00UTC,2.75,296
2020/07/16 12:00UTC,2.84,316
2020/07/16 15:00UTC,2.66,324
2020/07/16 18:00UTC,2.69,304
2020/07/16 21:00UTC,2.60,319
2020/07/17 00:00UTC,2.33,346
2020/07/17 03:00UTC,1.75,343
2020/07/17 06:00UTC,1.41,305
2020/07/17 09:00UTC,1.72,325
2020/07/17 12:00UTC,3.21,333
2020/07/17 15:00UTC,3.59,349
2020/07/17 18:00UTC,2.69,351
2020/07/17 21:00UTC,2.53,44
2020/07/18 00:00UTC,2.51,22
2020/07/18 03:00UTC,2.71,26
2020/07/18 06:00UTC,2.76,37
2020/07/18 09:00UTC,3.58,48
2020/07/18 12:00UTC,4.47,48
2020/07/18 15:00UTC,4.66,45
2020/07/18 18:00UTC,3.86,47
2020/07/18 21:00UTC,3.40,54
2020/07/19 00:00UTC,3.09,56
2020/07/19 03:00UTC,3.15,61
2020/07/19 06:00UTC,4.35,78
2020/07/19 09:00UTC,4.62,80
2020/07/19 12:00UTC,4.72,77
2020/07/19 15:00UTC,4.93,69
2020/07/19 18:00UTC,3.71,54
2020/07/19 21:00UTC,3.66,65
2020/07/20 00:00UTC,2.65,78
2020/07/20 03:00UTC,2.01,76
2020/07/20 06:00UTC,1.66,78
2020/07/20 09:00UTC,1.11,101
2020/07/20 12:00UTC,0.51,138
2020/07/20 15:00UTC,0.34,243
2020/07/20 18:00UTC,1.72,353
2020/07/20 21:00UTC,1.05,81
2020/07/21 00:00UTC,2.20,106
2020/07/21 03:00UTC,1.55,186
2020/07/21 06:00UTC,1.12,207
