iter	RMSE
0	6575.637056
1	6570.545354
2	6565.485056
3	6560.505291
4	6555.471459
5	6550.531127
6	6545.608222
7	6540.788967
8	6536.028825
9	6531.16756
10	6526.355871
11	6521.583999
12	6516.87388
13	6512.204681
14	6507.558209
15	6502.973803
16	6498.392766
17	6493.866166
18	6489.370974
19	6484.866349
20	6480.418489
21	6475.976609
22	6471.60974
23	6467.245352
24	6462.906687
25	6458.598932
26	6454.319125
27	6450.057646
28	6445.83299
29	6441.646441
30	6437.472015
31	6433.334597
32	6429.242754
33	6425.165912
34	6421.115643
35	6417.10233
36	6413.051226
37	6409.109555
38	6405.115213
39	6401.212533
40	6397.289788
41	6393.440601
42	6389.572915
43	6385.72488
44	6381.888888
45	6378.130406
46	6374.366341
47	6370.640161
48	6366.9311
49	6363.238881
50	6359.565987
51	6355.88023
52	6352.270019
53	6348.633178
54	6345.078172
55	6341.526709
56	6338.012956
57	6334.511109
58	6331.052922
59	6327.62706
60	6324.230801
61	6320.854009
62	6317.396373
63	6313.99183
64	6310.600287
65	6307.241246
66	6303.913831
67	6300.558964
68	6297.317841
69	6294.085585
70	6290.817873
71	6287.600889
72	6284.414225
73	6281.235882
74	6278.109056
75	6274.902652
76	6271.781687
77	6268.670059
78	6265.605448
79	6262.483276
80	6259.390395
81	6256.393255
82	6253.343526
83	6250.339741
84	6247.38228
85	6244.452155
86	6241.50628
87	6238.549008
88	6235.679794
89	6232.852757
90	6229.940218
91	6227.073928
92	6224.234208
93	6221.421721
94	6218.697666
95	6215.923152
96	6213.097799
97	6210.314502
98	6207.645901
99	6204.934658
100	6202.208079
101	6199.502953
102	6196.880685
103	6194.201572
104	6191.59092
105	6188.94324
106	6186.370725
107	6183.840353
108	6181.320935
109	6178.742091
110	6176.188065
111	6173.700909
112	6171.16787
113	6168.660984
114	6166.258411
115	6163.836233
116	6161.377647
117	6158.963366
118	6156.55099
119	6154.093614
120	6151.713888
121	6149.290104
122	6146.88345
123	6144.500297
124	6142.154961
125	6139.816036
126	6137.514355
127	6135.218486
128	6132.947201
129	6130.666803
130	6128.423748
131	6126.174459
132	6123.981992
133	6121.766119
134	6119.571117
135	6117.381067
136	6115.234567
137	6113.074231
138	6110.945688
139	6108.805548
140	6106.722149
141	6104.664239
142	6102.612986
143	6100.575431
144	6098.513208
145	6096.454126
146	6094.394349
147	6092.354365
148	6090.359815
149	6088.378708
150	6086.387021
151	6084.391156
152	6082.450434
153	6080.486316
154	6078.542101
155	6076.611066
156	6074.698039
157	6072.828412
158	6070.9309
159	6069.020261
160	6067.147277
161	6065.275001
162	6063.419196
163	6061.582129
164	6059.782164
165	6057.984563
166	6056.164205
167	6054.344911
168	6052.543116
169	6050.757547
170	6048.99499
171	6047.277397
172	6045.518019
173	6043.788143
174	6042.072298
175	6040.365653
176	6038.701807
177	6037.017471
178	6035.313921
179	6033.659027
180	6032.008528
181	6030.377309
182	6028.732706
183	6027.170177
184	6025.518873
185	6023.915036
186	6022.28875
187	6020.717097
188	6019.113278
189	6017.530099
190	6015.949422
191	6014.384545
192	6012.822829
193	6011.25876
194	6009.764063
195	6008.224195
196	6006.692374
197	6005.175754
198	6003.668171
199	6002.145912
200	6000.654471
201	5999.174689
202	5997.751777
203	5996.255014
204	5994.771868
205	5993.316343
206	5991.875764
207	5990.436142
208	5989.000081
209	5987.624917
210	5986.213596
211	5984.773915
212	5983.348882
213	5981.936553
214	5980.518672
215	5979.124594
216	5977.752379
217	5976.382134
218	5975.023978
219	5973.645271
220	5972.283554
221	5970.934267
222	5969.578793
223	5968.293275
224	5966.935567
225	5965.621689
226	5964.320602
227	5963.062735
228	5961.709725
229	5960.36917
230	5959.070864
231	5957.77293
232	5956.588994
233	5955.270213
234	5953.989468
235	5952.731056
236	5951.484504
237	5950.224579
238	5948.978813
239	5947.779681
240	5946.532092
241	5945.258322
242	5944.033829
243	5942.817289
244	5941.613303
245	5940.427788
246	5939.240722
247	5937.983127
248	5936.818242
249	5935.637355
250	5934.50652
251	5933.328132
252	5932.17121
253	5931.011103
254	5929.860308
255	5928.644479
256	5927.530407
257	5926.401316
258	5925.275302
259	5924.080591
260	5922.97093
261	5921.866002
262	5920.680486
263	5919.635098
264	5918.464625
265	5917.383247
266	5916.227823
267	5915.154279
268	5914.077903
269	5912.982528
270	5911.920603
271	5910.882575
272	5909.812021
273	5908.761409
274	5907.722827
275	5906.598865
276	5905.548343
277	5904.438172
278	5903.428895
279	5902.392348
280	5901.381399
281	5900.380855
282	5899.28988
283	5898.296256
284	5897.235655
285	5896.224814
286	5895.260451
287	5894.287988
288	5893.243214
289	5892.188655
290	5891.213367
291	5890.253482
292	5889.270919
293	5888.30111
294	5887.282772
295	5886.314293
296	5885.355265
297	5884.328462
298	5883.311757
299	5882.365503
300	5881.430372
301	5880.42577
302	5879.430949
303	5878.445581
304	5877.514805
305	5876.538078
306	5875.577122
307	5874.644563
308	5873.73975
309	5872.822177
310	5871.917415
311	5871.001218
312	5870.101491
313	5869.216249
314	5868.317911
315	5867.432733
316	5866.543763
317	5865.675941
318	5864.816636
319	5863.887688
320	5863.023464
321	5862.105545
322	5861.22808
323	5860.391421
324	5859.528679
325	5858.68179
326	5857.770183
327	5856.913382
328	5856.01249
329	5855.180416
330	5854.288587
331	5853.409284
332	5852.588171
333	5851.789608
334	5850.916597
335	5850.052791
336	5849.251881
337	5848.399168
338	5847.602368
339	5846.791448
340	5846.004438
341	5845.223996
342	5844.443784
343	5843.663467
344	5842.867356
345	5842.055779
346	5841.252771
347	5840.420264
348	5839.626717
349	5838.827384
350	5838.076051
351	5837.333309
352	5836.574766
353	5835.843196
354	5835.066075
355	5834.296873
356	5833.542282
357	5832.783915
358	5832.025783
359	5831.303343
360	5830.559069
361	5829.784924
362	5829.046814
363	5828.254061
364	5827.476262
365	5826.732504
366	5825.949145
367	5825.196151
368	5824.501998
369	5823.794366
370	5823.031379
371	5822.330938
372	5821.602269
373	5820.881551
374	5820.169122
375	5819.418732
376	5818.714839
377	5818.02997
378	5817.290368
379	5816.544637
380	5815.807194
381	5815.076366
382	5814.394088
383	5813.671469
384	5812.976611
385	5812.329657
386	5811.666858
387	5811.016737
388	5810.358152
389	5809.706206
390	5809.040421
391	5808.37456
392	5807.701905
393	5807.003981
394	5806.311684
395	5805.658276
396	5804.964139
397	5804.306211
398	5803.666356
399	5803.027104
400	5802.374671
401	5801.697286
402	5801.026883
403	5800.359093
404	5799.714767
405	5799.092569
406	5798.464921
407	5797.80962
408	5797.189236
409	5796.523695
410	5795.875241
411	5795.23311
412	5794.582155
413	5794.022357
414	5793.39719
415	5792.785424
416	5792.177635
417	5791.577864
418	5790.988809
419	5790.350515
420	5789.718214
421	5789.10269
422	5788.479688
423	5787.863358
424	5787.256737
425	5786.662861
426	5786.078362
427	5785.487399
428	5784.940207
429	5784.377115
430	5783.767767
431	5783.178591
432	5782.597451
433	5782.001747
434	5781.425886
435	5780.83411
436	5780.281415
437	5779.697284
438	5779.105668
439	5778.509941
440	5777.933057
441	5777.352064
442	5776.777091
443	5776.22806
444	5775.657703
445	5775.129168
446	5774.569172
447	5773.982098
448	5773.414897
449	5772.851019
450	5772.290464
451	5771.7454
452	5771.198933
453	5770.65816
454	5770.107196
455	5769.584576
456	5769.034861
457	5768.495914
458	5767.958946
459	5767.404003
460	5766.890609
461	5766.36905
462	5765.837296
463	5765.291622
464	5764.8024
465	5764.277607
466	5763.748029
467	5763.173729
468	5762.605464
469	5762.090964
470	5761.589622
471	5761.077063
472	5760.579019
473	5760.047069
474	5759.486284
475	5758.93188
476	5758.382164
477	5757.883886
478	5757.340169
479	5756.839768
480	5756.359654
481	5755.880855
482	5755.422011
483	5754.952963
484	5754.476081
485	5753.993736
486	5753.497451
487	5752.993326
488	5752.506448
489	5752.027668
490	5751.519005
491	5751.036751
492	5750.54462
493	5750.010724
494	5749.568374
495	5749.091045
496	5748.563461
497	5748.040918
498	5747.556336
499	5747.076126
500	5746.572794
501	5746.098272
502	5745.647812
503	5745.1688
504	5744.738979
505	5744.270756
506	5743.856828
507	5743.363063
508	5742.900163
509	5742.417185
510	5741.976967
511	5741.533658
512	5741.023046
513	5740.538891
514	5740.034647
515	5739.578614
516	5739.149054
517	5738.69669
518	5738.198742
519	5737.724886
520	5737.253712
521	5736.786918
522	5736.356129
523	5735.864099
524	5735.407395
525	5734.983984
526	5734.559181
527	5734.072099
528	5733.609469
529	5733.12707
530	5732.692943
531	5732.275797
532	5731.832418
533	5731.387304
534	5730.93705
535	5730.495269
536	5730.085452
537	5729.656882
538	5729.221471
539	5728.790454
540	5728.36383
541	5727.941261
542	5727.519682
543	5727.125999
544	5726.653611
545	5726.254078
546	5725.823178
547	5725.40485
548	5724.93709
549	5724.508476
550	5724.119015
551	5723.656944
552	5723.250044
553	5722.857772
554	5722.452179
555	5722.064624
556	5721.642612
557	5721.186477
558	5720.734738
559	5720.375708
560	5719.976248
561	5719.571815
562	5719.188668
563	5718.788784
564	5718.414965
565	5717.99132
566	5717.574465
567	5717.185727
568	5716.79355
569	5716.404928
570	5715.960148
571	5715.550312
572	5715.186178
573	5714.825776
574	5714.453063
575	5714.096881
576	5713.658065
577	5713.223313
578	5712.871151
579	5712.495921
580	5712.066544
581	5711.689723
582	5711.281118
583	5710.896732
584	5710.494389
585	5710.094408
586	5709.730951
587	5709.370717
588	5708.976124
589	5708.585091
590	5708.191127
591	5707.828916
592	5707.504273
593	5707.115532
594	5706.723346
595	5706.348908
596	5705.961797
597	5705.586967
598	5705.165787
599	5704.790734
600	5704.424546
601	5704.008239
602	5703.595663
603	5703.232989
604	5702.857809
605	5702.506204
606	5702.129094
607	5701.764616
608	5701.398405
609	5701.076304
610	5700.705087
611	5700.334873
612	5699.929217
613	5699.746825
614	5699.384933
615	5699.021991
616	5698.680931
617	5698.356452
618	5698.005768
619	5697.605595
620	5697.209674
621	5696.85481
622	5696.490166
623	5696.134744
624	5695.848473
625	5695.502086
626	5695.110985
627	5694.724137
628	5694.384362
629	5694.049361
630	5693.718109
631	5693.361658
632	5692.978803
633	5692.625389
634	5692.316155
635	5692.137117
636	5691.813978
637	5691.478141
638	5691.126005
639	5690.787213
640	5690.463998
641	5690.116598
642	5689.939376
643	5689.612341
644	5689.267975
645	5688.986501
646	5688.685469
647	5688.352362
648	5688.033809
649	5687.697234
650	5687.38053
651	5687.052662
652	5686.743811
653	5686.368743
654	5686.049736
655	5685.711843
656	5685.381992
657	5685.06962
658	5684.698558
659	5684.331076
660	5684.011439
661	5683.67068
662	5683.346716
663	5683.075245
664	5682.711777
665	5682.376946
666	5682.072132
667	5681.74207
668	5681.564587
669	5681.251833
670	5680.893054
671	5680.579748
672	5680.263849
673	5679.934712
674	5679.676471
675	5679.352623
676	5679.027898
677	5678.85325
678	5678.58019
679	5678.272252
680	5677.975462
681	5677.667148
682	5677.31364
683	5677.009756
684	5676.712556
685	5676.539383
686	5676.252467
687	5675.961585
688	5675.677905
689	5675.39043
690	5675.041763
691	5674.762162
692	5674.470344
693	5674.188823
694	5673.889585
695	5673.718045
696	5673.467428
697	5673.123628
698	5672.78359
699	5672.468977
700	5672.18495
701	5671.894375
702	5671.620464
703	5671.329344
704	5670.99281
705	5670.659351
706	5670.37317
707	5670.201179
708	5669.928563
709	5669.757762
710	5669.508175
711	5669.22572
712	5669.090164
713	5668.783431
714	5668.486832
715	5668.208627
716	5667.901159
717	5667.59591
718	5667.323857
719	5667.039056
720	5666.765599
721	5666.494194
722	5666.19541
723	5665.930863
724	5665.652877
725	5665.373328
726	5665.045564
727	5664.878404
728	5664.610868
729	5664.309919
730	5664.144114
731	5663.980199
732	5663.845206
733	5663.556787
734	5663.269557
735	5662.99368
736	5662.731566
737	5662.495792
738	5662.174578
739	5661.856963
740	5661.541915
741	5661.272327
742	5660.978091
