iter	Passed	Remaining
0	15	159023
1	30	151207
2	44	147079
3	60	150026
4	75	150050
5	89	149105
6	105	150412
7	119	149701
8	133	148438
9	149	149118
10	164	149671
11	179	149015
12	193	148918
13	207	148184
14	222	148394
15	240	149778
16	253	148727
17	266	147926
18	279	146749
19	292	145989
20	306	145669
21	319	145128
22	333	144575
23	347	144276
24	360	143747
25	372	143022
26	386	142594
27	399	142200
28	414	142534
29	430	142987
30	444	142843
31	457	142409
32	472	142685
33	488	143249
34	502	142995
35	515	142750
36	529	142486
37	542	142295
38	556	142063
39	570	141950
40	586	142440
41	601	142586
42	616	142768
43	629	142540
44	643	142363
45	656	142122
46	669	141818
47	682	141530
48	695	141316
49	708	141077
50	721	140845
51	737	141066
52	752	141220
53	772	142217
54	789	142831
55	805	142945
56	822	143421
57	834	143097
58	848	142972
59	861	142759
60	874	142439
61	887	142241
62	900	141997
63	913	141816
64	931	142354
65	947	142598
66	964	142936
67	980	143207
68	996	143373
69	1009	143181
70	1022	142950
71	1035	142778
72	1049	142693
73	1061	142447
74	1076	142491
75	1089	142324
76	1104	142299
77	1118	142294
78	1131	142126
79	1148	142360
80	1165	142681
81	1178	142523
82	1192	142441
83	1206	142409
84	1221	142536
85	1235	142473
86	1249	142405
87	1265	142509
88	1281	142712
89	1297	142828
90	1313	143030
91	1330	143304
92	1348	143604
93	1364	143770
94	1380	143970
95	1394	143858
96	1409	143894
97	1424	143897
98	1439	143918
99	1452	143750
100	1464	143558
101	1480	143713
102	1497	143880
103	1511	143821
104	1525	143723
105	1538	143592
106	1554	143746
107	1567	143553
108	1581	143501
109	1593	143251
110	1605	143061
111	1617	142828
112	1629	142612
113	1642	142406
114	1654	142185
115	1666	141990
116	1681	142065
117	1696	142099
118	1714	142367
119	1729	142369
120	1745	142498
121	1759	142440
122	1775	142533
123	1790	142593
124	1802	142416
125	1815	142238
126	1827	142070
127	1839	141874
128	1851	141708
129	1864	141541
130	1877	141451
131	1893	141582
132	1907	141509
133	1921	141502
134	1934	141372
135	1948	141357
136	1963	141386
137	1978	141371
138	1993	141397
139	2012	141769
140	2027	141766
141	2042	141800
142	2058	141896
143	2077	142163
144	2097	142542
145	2113	142624
146	2129	142722
147	2147	142970
148	2167	143309
149	2186	143568
150	2203	143707
151	2222	144013
152	2239	144106
153	2254	144144
154	2272	144363
155	2285	144232
156	2299	144154
157	2315	144213
158	2331	144300
159	2344	144172
160	2356	144035
161	2369	143870
162	2381	143711
163	2393	143534
164	2405	143367
165	2418	143282
166	2432	143246
167	2446	143185
168	2460	143127
169	2473	143036
170	2486	142933
171	2500	142892
172	2514	142841
173	2530	142896
174	2542	142766
175	2557	142761
176	2573	142819
177	2590	142933
178	2605	142940
179	2620	142949
180	2634	142911
181	2650	142988
182	2665	142978
183	2678	142913
184	2691	142803
185	2705	142773
186	2720	142755
187	2734	142705
188	2748	142655
189	2767	142877
190	2782	142920
191	2798	142933
192	2814	143006
193	2830	143067
194	2846	143139
195	2860	143084
196	2873	143001
197	2889	143053
198	2904	143053
199	2919	143055
